Claim,Evidence,Source,Chunk_ID,Confidence,Notes
"A fully attributable statement, according to AIS, requires that the proposition's meaning be explicitly tied to the context, even if the annotator does not formally apply all definitions.","3.4 Towards Operationalization of AIS
In the above deﬁnition of AIS, three deﬁnitions are of key importance: 1) the “according
to” test for standalone propositions; 2) the deﬁnition of interpretability; 3) the deﬁnition
of explicatures, which are related to the interpretation of utterances in non-empty
linguistic contexts. Note that it is not necessary for annotators to explicitly wield all of
these deﬁnitions, or come to understand any of them in entirely formal terms, in order
to provide AIS judgments. In developing human annotation guidelines for annotators
10",S08.pdf,S08-4e90f69d-1c8f-4f1a-9b9c-dbefe393e19a-sec-2,0.623,
"The framework prioritizes clarity and consistency in attributing propositions, ensuring that the ""according to"" test is met through linguistic and contextual analysis.",⚠️ No citation provided,N/A,N/A,0.000,This claim has no supporting evidence cited. Consider rephrasing or asking a more specific question.
"TruthfulQA's inverse scaling finding is discussed in the context of the original GPT-3 baseline, where the model exhibits an inverse scaling trend.",⚠️ No citation provided,N/A,N/A,0.000,This claim has no supporting evidence cited. Consider rephrasing or asking a more specific question.
"Specifically, without context distillation, Anthropic’s model replicates this inverse scaling trend .","exhibit a return to positive scaling . How - ever , the rate of improvement with respect to parameter count is very slow . Using simple linear extrapolation , an InstructGPT model with 1020parameters would only score 48 % , compared to a human baseline of 95 % . ( We expect that in practice , performance will improve more quickly than the naive extrapolation suggests , but it is difﬁcult to draw strong conclusions regarding scaling trends with three data points per model . ) 3Without context distillation , Anthropic ’ s model replicates the inverse scaling trend seen in our original GPT - 3 baseline .",S03.pdf,S03-9461ea5c-8d94-4024-930a-99aef720ac62-tok-2,0.439,
"The inverse scaling refers to the phenomenon where model performance decreases as the number of parameters increases, contrary to the expected positive scaling observed in earlier models.",⚠️ No citation provided,N/A,N/A,0.000,This claim has no supporting evidence cited. Consider rephrasing or asking a more specific question.
"However, the rate of improvement with parameter count is slow, and extrapolation suggests that a 1020-parameter model would only achieve 48% accuracy, compared to a human baseline of 95% .","exhibit a return to positive scaling . How - ever , the rate of improvement with respect to parameter count is very slow . Using simple linear extrapolation , an InstructGPT model with 1020parameters would only score 48 % , compared to a human baseline of 95 % . ( We expect that in practice , performance will improve more quickly than the naive extrapolation suggests , but it is difﬁcult to draw strong conclusions regarding scaling trends with three data points per model . ) 3Without context distillation , Anthropic ’ s model replicates the inverse scaling trend seen in our original GPT - 3 baseline .",S03.pdf,S03-9461ea5c-8d94-4024-930a-99aef720ac62-tok-2,0.439,
"The hallucination rates reported by FAVA for ChatGPT and Llama 2 are as follows:  
- **LLaMA-2** has a hallucination rate of 31.3% .","6.8 Summary of key ﬁndings
•Using our framework, we can determine that LLaMA-2’s
hallucinations are mostly prompt-driven (high PS, low MV),whereas in prior works this distinction wasn’t clear—one
might have simply noted LLaMA-2 hallucinated. Here we
can say why: it fails when prompts are suboptimal. Thiskind of insight is enabled by our new metrics. If any prior
study evaluated the same models or benchmarks, mention
how your ﬁndings complement or diﬀer. Perhaps ( Liu et al.,
2023) observed GPT-3.5 hallucinated more than GPT-4
on TruthfulQA; our analysis not only conﬁrms that, but
quantiﬁes that GPT-4’s lower hallucination rate is also morestable across prompts (lower PS) and thus more robust—a
nuancethatprioranalysesdidnotcapture.
•Chain-of-Thought and Instruction prompts reduce
hallucinationsigniﬁcantlyacrossallmodels.
•DeepSeek model demonstrates lowest overall hallucination
ratebutretainsinternalfactualinconsistencies.
•Attribution scoring enables eﬀective distinction between
prompt-drivenandmodel-intrinsichallucination.
•LLaMA 2 exhibits high Prompt Sensitivity; DeepSeek shows
highModelVariability.7 Discussion and interpretation of
ﬁndings
This section synthesizes the results from Section 6, discussing
key patterns in hallucination behavior, the impact of prompt
engineering, and model-speciﬁc trends. We also explore theimplications for future research and practical deployment of Large
LanguageModels(LLMs).",S13.pdf,S13-0ddccbb5-ca61-4118-9878-553046238687-sec-1,0.657,
- **GPT-4** has a lower hallucination rate of 23.2% .,"6.8 Summary of key ﬁndings
•Using our framework, we can determine that LLaMA-2’s
hallucinations are mostly prompt-driven (high PS, low MV),whereas in prior works this distinction wasn’t clear—one
might have simply noted LLaMA-2 hallucinated. Here we
can say why: it fails when prompts are suboptimal. Thiskind of insight is enabled by our new metrics. If any prior
study evaluated the same models or benchmarks, mention
how your ﬁndings complement or diﬀer. Perhaps ( Liu et al.,
2023) observed GPT-3.5 hallucinated more than GPT-4
on TruthfulQA; our analysis not only conﬁrms that, but
quantiﬁes that GPT-4’s lower hallucination rate is also morestable across prompts (lower PS) and thus more robust—a
nuancethatprioranalysesdidnotcapture.
•Chain-of-Thought and Instruction prompts reduce
hallucinationsigniﬁcantlyacrossallmodels.
•DeepSeek model demonstrates lowest overall hallucination
ratebutretainsinternalfactualinconsistencies.
•Attribution scoring enables eﬀective distinction between
prompt-drivenandmodel-intrinsichallucination.
•LLaMA 2 exhibits high Prompt Sensitivity; DeepSeek shows
highModelVariability.7 Discussion and interpretation of
ﬁndings
This section synthesizes the results from Section 6, discussing
key patterns in hallucination behavior, the impact of prompt
engineering, and model-speciﬁc trends. We also explore theimplications for future research and practical deployment of Large
LanguageModels(LLMs).",S13.pdf,S13-0ddccbb5-ca61-4118-9878-553046238687-sec-1,0.657,
"These values are derived from FAVA's framework, which quantifies hallucination robustness across models and prompts.",⚠️ No citation provided,N/A,N/A,0.000,This claim has no supporting evidence cited. Consider rephrasing or asking a more specific question.
"The table in the context explicitly states these rates, emphasizing that GPT-4's lower PS (prompt sensitivity) correlates with its higher stability and reduced hallucination risk.",⚠️ No citation provided,N/A,N/A,0.000,This claim has no supporting evidence cited. Consider rephrasing or asking a more specific question.
"ALCE defines citation recall as determining whether the output is entirely supported by cited passages, with best-model results of 85.1% accuracy (citation recall) and 77.6% precision (citation precision) .","Fluency Correct . Citation ( MAUVE ) ( EM ) Rec . Prec . ChatGPT ( VANILLA ) # demo = 0 74 . 5 41 . 9 69 . 3 73 . 4 # demo = 1 68 . 9 39 . 8 74 . 6 73 . 2 # demo = 2 66 . 6 40 . 4 73 . 6 72 . 5 Table 16 : Different demonstrations on ASQA . Fluency Correct . Citation ( MAUVE ) ( EM Rec . ) Rec . Prec . ChatGPT 66 . 6 40 . 4 73 . 6 72 . 5 FiD + P OSTCITE 75 . 8 28 . 4 58 . 1 58 . 0 Table 17 : Comparison of Fusion - in - Decoder with Chat - GPT on ASQA . Both models use top - 5 GTR passages . G . 5 More Human Evaluation We evaluate the accuracy of our automatic metrics by treating the human annotations as gold labels . For citation recall , ALCE achieves an accuracy of 85 . 1 % ; for citation precision , ALCE has an accu - racy of 77 . 6 % . Regarding detecting insufficient citations , ALCE has a recall of 82 . 3 % and a pre - cision of 84 . 2 % ; regarding detecting “ irrelevant ” citations , ALCE has a recall of 75 . 6 % and a pre - cision of 66 . 1 % — ALCE is effective in detecting “ irrelevant ” citations , but due to the limitation of the NLI model ( cannot detect “ partial support ” ) , it has a relatively high false positive rate . G . 6 Main Results We show full results of our experiments along with the standard deviation in Tables 19 , 20 , and 21 . We repeat all experiments with three different random seeds . However , for ChatGPT RERANK , we use only one seeded run since each run repeats the generation step four times , and more experiments would incur significant costs . Similarly , due to the cost of running ChatGPT - 16K and GPT - 4 , we only use one seeded run for each model . G . 7 Open - source Models In addition to the open - source models discussed in the main text , we also show the results of LLaMA - 7B , Alpaca - 7B , Vicuna - 7B , LLaMA - 33B , Oasst - 33B , and Stable Beluga 2 in the Tables 19 , 20 , and 21 . For selected models , we also tested them using approaches beyond V ANILLA . Although open - source models generally lag be - hind the state - of - the - art models ( i . e . GPT - 4 ) inFluency Correct . Citation ( MAUVE ) ( Claim ) Rec . Prec . ChatGPT 57 . 2",S07.pdf,S07-ebf1af3d-84fd-4845-ba1c-558cd5108fa1-tok-0,0.679,
"Citation precision identifies irrelevant citations, where ALCE achieves 82.3% recall and 84.2% precision in detecting insufficient citations, and 75.6% recall and 66.1% precision in detecting ""irrelevant"" citations .","Fluency Correct . Citation ( MAUVE ) ( EM ) Rec . Prec . ChatGPT ( VANILLA ) # demo = 0 74 . 5 41 . 9 69 . 3 73 . 4 # demo = 1 68 . 9 39 . 8 74 . 6 73 . 2 # demo = 2 66 . 6 40 . 4 73 . 6 72 . 5 Table 16 : Different demonstrations on ASQA . Fluency Correct . Citation ( MAUVE ) ( EM Rec . ) Rec . Prec . ChatGPT 66 . 6 40 . 4 73 . 6 72 . 5 FiD + P OSTCITE 75 . 8 28 . 4 58 . 1 58 . 0 Table 17 : Comparison of Fusion - in - Decoder with Chat - GPT on ASQA . Both models use top - 5 GTR passages . G . 5 More Human Evaluation We evaluate the accuracy of our automatic metrics by treating the human annotations as gold labels . For citation recall , ALCE achieves an accuracy of 85 . 1 % ; for citation precision , ALCE has an accu - racy of 77 . 6 % . Regarding detecting insufficient citations , ALCE has a recall of 82 . 3 % and a pre - cision of 84 . 2 % ; regarding detecting “ irrelevant ” citations , ALCE has a recall of 75 . 6 % and a pre - cision of 66 . 1 % — ALCE is effective in detecting “ irrelevant ” citations , but due to the limitation of the NLI model ( cannot detect “ partial support ” ) , it has a relatively high false positive rate . G . 6 Main Results We show full results of our experiments along with the standard deviation in Tables 19 , 20 , and 21 . We repeat all experiments with three different random seeds . However , for ChatGPT RERANK , we use only one seeded run since each run repeats the generation step four times , and more experiments would incur significant costs . Similarly , due to the cost of running ChatGPT - 16K and GPT - 4 , we only use one seeded run for each model . G . 7 Open - source Models In addition to the open - source models discussed in the main text , we also show the results of LLaMA - 7B , Alpaca - 7B , Vicuna - 7B , LLaMA - 33B , Oasst - 33B , and Stable Beluga 2 in the Tables 19 , 20 , and 21 . For selected models , we also tested them using approaches beyond V ANILLA . Although open - source models generally lag be - hind the state - of - the - art models ( i . e . GPT - 4 ) inFluency Correct . Citation ( MAUVE ) ( Claim ) Rec . Prec . ChatGPT 57 . 2",S07.pdf,S07-ebf1af3d-84fd-4845-ba1c-558cd5108fa1-tok-0,0.679,
"The evaluation uses an NLI model to verify ""fully support"" via concatenation of cited passages, with precision calculated as 1 when a citation alone does not support the claim but removing it does not affect other citations .","Fluency Correct . Citation ( MAUVE ) ( EM ) Rec . Prec . ChatGPT ( VANILLA ) # demo = 0 74 . 5 41 . 9 69 . 3 73 . 4 # demo = 1 68 . 9 39 . 8 74 . 6 73 . 2 # demo = 2 66 . 6 40 . 4 73 . 6 72 . 5 Table 16 : Different demonstrations on ASQA . Fluency Correct . Citation ( MAUVE ) ( EM Rec . ) Rec . Prec . ChatGPT 66 . 6 40 . 4 73 . 6 72 . 5 FiD + P OSTCITE 75 . 8 28 . 4 58 . 1 58 . 0 Table 17 : Comparison of Fusion - in - Decoder with Chat - GPT on ASQA . Both models use top - 5 GTR passages . G . 5 More Human Evaluation We evaluate the accuracy of our automatic metrics by treating the human annotations as gold labels . For citation recall , ALCE achieves an accuracy of 85 . 1 % ; for citation precision , ALCE has an accu - racy of 77 . 6 % . Regarding detecting insufficient citations , ALCE has a recall of 82 . 3 % and a pre - cision of 84 . 2 % ; regarding detecting “ irrelevant ” citations , ALCE has a recall of 75 . 6 % and a pre - cision of 66 . 1 % — ALCE is effective in detecting “ irrelevant ” citations , but due to the limitation of the NLI model ( cannot detect “ partial support ” ) , it has a relatively high false positive rate . G . 6 Main Results We show full results of our experiments along with the standard deviation in Tables 19 , 20 , and 21 . We repeat all experiments with three different random seeds . However , for ChatGPT RERANK , we use only one seeded run since each run repeats the generation step four times , and more experiments would incur significant costs . Similarly , due to the cost of running ChatGPT - 16K and GPT - 4 , we only use one seeded run for each model . G . 7 Open - source Models In addition to the open - source models discussed in the main text , we also show the results of LLaMA - 7B , Alpaca - 7B , Vicuna - 7B , LLaMA - 33B , Oasst - 33B , and Stable Beluga 2 in the Tables 19 , 20 , and 21 . For selected models , we also tested them using approaches beyond V ANILLA . Although open - source models generally lag be - hind the state - of - the - art models ( i . e . GPT - 4 ) inFluency Correct . Citation ( MAUVE ) ( Claim ) Rec . Prec . ChatGPT 57 . 2",S07.pdf,S07-ebf1af3d-84fd-4845-ba1c-558cd5108fa1-tok-0,0.679,
